icao24,origin_country,velocity,on_ground
e49406,Brazil,227.08,False
80162c,India,234.64,False
e8027b,Chile,222.38,False
80162d,India,171.98,False
4b1819,Switzerland,10.29,True
e8027e,Chile,250.82,False
a57b27,United States,139.84,False
39de57,France,233.43,False
ab6fdd,United States,197.09,False
a3b87f,United States,224.19,False
440da5,Austria,215.74,False
39de53,France,216.07,False
39de54,France,63.52,False
3d602e,Germany,146.38,False
e49405,Brazil,238.71,False
880455,Thailand,238.69,False
4b1807,Switzerland,241.64,False
80163d,India,229.53,False
aa56d5,United States,188.43,False
a0e279,United States,62.08,False
a438fa,United States,91.23,False
a665bd,United States,96.68,False
e4940e,Brazil,183.71,False
801650,India,145.83,False
801657,India,0.0,True
a9f06b,United States,187.89,False
a3b88e,United States,196.21,False
aae316,United States,137.36,False
4952cb,Portugal,237.59,False
880441,Thailand,226.77,False
a282e5,United States,0.0,True
00b22c,South Africa,160.98,False
a36898,United States,216.74,False
407a20,United Kingdom,127.39,False
80160b,India,213.28,False
440dbd,Austria,144.22,False
a71e53,United States,48.69,False
aaa6e4,United States,216.8,False
aa9300,United States,271.97,False
c034b6,Canada,98.34,False
ac96be,United States,196.73,False
801621,India,67.88,False
801622,India,107.31,False
80160e,India,186.39,False
80160f,India,228.74,False
4b181a,Switzerland,237.72,False
a08b7c,United States,125.14,False
a808d7,United States,228.03,False
a1fb33,United States,207.32,False
ad5623,United States,157.49,False
4952c1,Portugal,246.58,False
440daf,Austria,239.11,False
88045a,Thailand,219.64,False
4952c4,Portugal,7.72,True
4952c6,Portugal,166.57,False
e48d15,Brazil,79.23,False
a33b23,United States,236.65,False
4952c8,Portugal,203.16,False
407a05,United Kingdom,246.39,False
39de45,France,203.88,False
440db0,Austria,67.91,False
39de49,France,235.25,False
8a02ca,Indonesia,76.34,False
801632,India,199.16,False
a0e249,United States,63.67,False
3c4075,Germany,9.77,True
a34215,United States,165.85,False
80161e,India,263.82,False
440db9,Austria,10.91,False
39de42,France,142.58,False
39de41,France,214.86,False
4952ad,Portugal,78.16,False
39de44,France,210.71,False
ac2f83,United States,125.99,False
e8023b,Chile,0.0,True
80166d,India,177.23,False
adeca5,United States,232.47,False
ac498c,United States,261.63,False
3c6666,Germany,5.66,True
a2228b,United States,0.0,True
8a02d4,Indonesia,218.89,False
511189,Estonia,8.23,True
a2d2fc,United States,33.96,False
4acb01,Sweden,223.79,False
aaef89,United States,195.47,False
511181,Estonia,205.47,False
408166,United Kingdom,198.07,False
3c664f,Germany,93.39,False
801686,India,78.09,False
a47597,United States,229.21,False
801689,India,3.34,True
ab034d,United States,241.11,False
4bc8c8,Turkey,243.52,False
4bc8c9,Turkey,249.2,False
4bc8c7,Turkey,253.45,False
a9036a,United States,91.57,False
e49444,Brazil,240.44,False
4bc8c5,Turkey,248.09,False
e49446,Brazil,232.69,False
801680,India,262.1,False
80167e,India,216.37,False
4bc8d0,Turkey,245.21,False
4952a8,Portugal,258.14,False
80167b,India,234.84,False
4952a9,Portugal,275.77,False
80167f,India,160.3,False
a2d2eb,United States,273.66,False
3c666a,Germany,244.62,False
a33b87,United States,49.82,False
801697,India,98.23,False
e49450,Brazil,178.92,False
0a00c2,Algeria,281.21,False
e48120,Brazil,124.47,False
48cb15,Poland,185.94,False
4bc8d5,Turkey,240.95,False
4bc8d3,Turkey,245.95,False
4bc8d4,Turkey,65.8,True
a34e9d,United States,196.16,False
3442cc,Spain,85.96,False
471efb,Hungary,95.17,False
408142,United Kingdom,305.59,False
acdffc,United States,203.4,False
a3a538,United States,0.0,True
471efd,Hungary,177.8,False
40812e,United Kingdom,246.94,False
a72500,United States,210.92,False
44029f,Austria,5.14,True
abfc71,United States,199.17,False
80165a,India,225.25,False
aae377,United States,186.07,False
ace6e2,United States,150.97,False
a5f826,United States,200.86,False
511194,Estonia,232.86,False
a3689e,United States,192.04,False
a3556f,United States,211.23,False
ac1042,United States,12.35,True
801674,India,84.88,False
801672,India,140.64,False
abf025,United States,187.94,False
a4c527,United States,160.27,False
